(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		1071 (223 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1165 2 (2086 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1067 2 (4 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1037 (31 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		912 1 (4194 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		817 2 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1073 2 (540 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		675 2 (136 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		306 (145 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		593 3 (12 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		921 (72 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		852 1 (131 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1012 3 (370 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		831 2 (188 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		647 3 (370 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		570 (370 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		952 1 (86 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		700 3 (18 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		864 (512 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		821 2 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		716 3 (118 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		837 (147 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		740 (82 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		979 3 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		911 (963 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		490 (1037 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		990 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		819 (51 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		613 1 (34 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		672 3 (136 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		762 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1124 1 (30 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		704 2 (129 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		225 (66 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		898 2 (188 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		104 (592 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1076 (101 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		915 (2350 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		826 1 (2350 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		839 1 (148 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1082 3 (69 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		982 3 (370 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		920 3 (8 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		338 (154 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		770 1 (82 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		970 3 (92 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		840 (146 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		856 1 (171 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		133 (290 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1162 1 (92 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		708 2 (30 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		736 3 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		386 (128 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		898 1 (188 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		932 1 (72 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		920 1 (8 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		851 (2516 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1096 1 (56 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		724 3 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		936 3 (72 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1121 1 (81 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		763 3 (22 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		135 (380 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		796 2 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1025 3 (23 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1125 2 (101 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		759 3 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		960 (76 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1115 3 (2095 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1164 1 (2095 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		754 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		589 2 (35 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		756 2 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		970 (92 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		630 3 (215 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		704 (129 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		878 (53 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		958 3 (72 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1018 3 (23 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		985 2 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		988 3 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		721 3 (188 verts)	-1	False	False	False	1	[Material #30 (UnityEngine.Material)] 	
		988 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		864 2 (512 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		139 (380 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1037 2 (31 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1110 (4187 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		659 3 (34 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		58 (979 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		654 2 (86 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1119 1 (92 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1129 2 (4 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		77 (200 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		815 (13 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1115 1 (2095 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		726 3 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		741 1 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		346 (31 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		871 (146 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		766 2 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1162 (92 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1092 3 (293 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1050 (17 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		977 2 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		36 (99 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		656 3 (105 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		983 1 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		887 (1367 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		859 1 (131 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1104 3 (92 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		975 (370 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		325 (8 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		94 (360 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		796 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		732 2 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		731 2 (51 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		882 (171 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1154 2 (92 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		809 1 (58 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		563 (188 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		751 (22 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1062 2 (188 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		672 (136 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		779 2 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		993 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		504 (4068 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1129 (4 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1096 3 (56 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		687 2 (126 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1100 2 (81 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		42 (546 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1024 1 (23 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		784 2 (121 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		899 1 (4195 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		693 1 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		430 (143 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		906 (4196 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1057 3 (8 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		814 (52 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		832 1 (513 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		735 2 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		9 (188 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		684 2 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		438 (3124 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1074 1 (293 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		690 (126 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1098 2 (46 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		738 3 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		548 (185 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		854 3 (1367 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1042 (11 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		701 (188 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		352 (262 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		579 (188 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		623 3 (145 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1039 (23 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		694 1 (216 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		911 2 (963 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		786 (123 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		609 1 (110 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1132 2 (318 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		816 2 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		916 2 (2350 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		956 (8 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		835 (278 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		657 (58 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1128 1 (4 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		944 1 (92 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1157 (92 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1153 1 (92 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1069 (188 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		861 (1243 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1013 1 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		736 1 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1135 1 (66 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		624 1 (45 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		860 (111 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		960 1 (76 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1146 (573 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		940 1 (4 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1008 1 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		850 (1679 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1117 3 (2085 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		793 1 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		907 3 (104 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		710 3 (118 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		752 1 (82 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1021 1 (23 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		184 (56 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		1097 2 (573 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1119 2 (92 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		528 (188 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		814 3 (52 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		662 2 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		326 (25 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		852 (131 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		730 1 (121 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		958 1 (72 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		775 (22 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		682 (34 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		794 3 (52 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		975 3 (370 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		188 (183 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		367 (44 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		293 (650 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1111 1 (4187 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		761 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		710 2 (118 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		690 3 (126 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		886 2 (111 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		154 (13 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		726 2 (6 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		66 (828 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		167 (550 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		144 (8 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		918 (86 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		253 (6 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		820 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1102 3 (56 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1146 1 (573 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		322 (134 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		835 2 (278 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1021 (23 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		775 1 (22 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1067 1 (4 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		603 3 (125 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1027 1 (23 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1128 (4 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		984 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		740 1 (82 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1043 2 (17 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1065 (188 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		609 2 (110 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		993 1 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		782 2 (82 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		991 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		186 (305 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		84 (376 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		863 (370 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1098 1 (46 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		810 2 (52 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1011 2 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		901 3 (892 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		647 1 (370 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		606 3 (125 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		741 3 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		695 3 (32 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		753 1 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		204 (18 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1130 3 (4 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		818 1 (52 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		849 (171 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		983 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1040 3 (15 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1006 3 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1103 2 (1067 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		908 3 (4195 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		150 (48 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		825 3 (2350 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		440 (199 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		597 2 (125 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		696 3 (80 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		846 2 (67 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		894 (1243 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		783 (121 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		914 1 (167 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		996 2 (188 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		838 3 (146 verts)	-1	False	False	False	1	[Material #28 (UnityEngine.Material)] 	
		1051 1 (7 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		729 3 (82 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1042 3 (11 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		500 (6399 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1101 (417 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		816 (114 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		976 3 (370 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		696 2 (80 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		614 2 (34 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		765 1 (36 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		637 2 (86 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		745 (22 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		776 1 (82 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1139 1 (11 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		970 2 (92 verts)	-1	False	False	False	1	[Material #25 (UnityEngine.Material)] 	
		788 3 (121 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1133 (18 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		268 (437 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
		1084 (30 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		799 3 (51 verts)	-1	False	False	False	1	[Material #29 (UnityEngine.Material)] 	
		1132 3 (318 verts)	-1	False	False	False	1	[Material #31 (UnityEngine.Material)] 	
		1022 1 (15 verts)	-1	False	False	False	1	[Material #26 (UnityEngine.Material)] 	
